datetime,open,high,low,close,volume
2025-12-29 13:00:00,1405.1,1405.52,1405.06,1405.06,152.0
2025-12-29 13:01:00,1405.09,1406.09,1405.02,1405.12,71.0
2025-12-29 13:02:00,1405.1,1406.37,1405.1,1406.37,71.0
2025-12-29 13:03:00,1406.59,1406.59,1405.2,1405.21,48.0
2025-12-29 13:04:00,1406.23,1406.24,1405.08,1405.08,82.0
2025-12-29 13:05:00,1405.2,1405.77,1405.02,1405.02,104.0
2025-12-29 13:06:00,1405.01,1405.22,1405.0,1405.0,67.0
2025-12-29 13:07:00,1405.0,1405.1,1404.87,1404.87,106.0
2025-12-29 13:08:00,1404.85,1404.88,1404.5,1404.88,73.0
2025-12-29 13:09:00,1404.87,1404.87,1404.18,1404.18,77.0
2025-12-29 13:10:00,1404.27,1404.28,1403.68,1403.68,265.0
2025-12-29 13:11:00,1403.66,1404.27,1403.66,1403.85,75.0
2025-12-29 13:12:00,1404.16,1404.27,1403.58,1403.58,66.0
2025-12-29 13:13:00,1403.58,1403.59,1403.5,1403.51,56.0
2025-12-29 13:14:00,1403.51,1403.55,1403.51,1403.55,64.0
2025-12-29 13:15:00,1403.5,1403.63,1403.38,1403.63,91.0
2025-12-29 13:16:00,1403.54,1404.0,1403.43,1403.98,62.0
2025-12-29 13:17:00,1403.55,1403.55,1403.38,1403.41,86.0
2025-12-29 13:18:00,1403.4,1403.54,1403.38,1403.54,68.0
2025-12-29 13:19:00,1403.48,1404.0,1403.48,1403.56,83.0
2025-12-29 13:20:00,1403.56,1403.97,1403.54,1403.54,57.0
2025-12-29 13:21:00,1403.55,1404.93,1403.54,1404.93,109.0
2025-12-29 13:22:00,1404.48,1405.0,1404.43,1404.99,39.0
2025-12-29 13:23:00,1404.43,1404.43,1404.13,1404.42,44.0
2025-12-29 13:24:00,1404.41,1405.02,1404.41,1405.02,57.0
2025-12-29 13:25:00,1405.1,1405.88,1404.58,1404.58,65.0
2025-12-29 13:26:00,1404.5,1405.46,1404.0,1405.44,43.0
2025-12-29 13:27:00,1404.34,1405.41,1404.26,1404.43,40.0
2025-12-29 13:28:00,1405.41,1405.41,1403.73,1404.24,92.0
2025-12-29 13:29:00,1403.67,1404.37,1403.67,1403.89,59.0
2025-12-29 13:30:00,1404.9,1404.9,1403.9,1404.04,56.0
2025-12-29 13:31:00,1403.92,1404.94,1403.7,1404.94,186.0
2025-12-29 13:32:00,1403.95,1404.89,1403.81,1403.81,72.0
2025-12-29 13:33:00,1403.81,1403.98,1403.81,1403.83,41.0
2025-12-29 13:34:00,1403.83,1404.87,1403.83,1404.09,70.0
2025-12-29 13:35:00,1404.09,1404.67,1403.99,1403.99,27.0
2025-12-29 13:36:00,1403.94,1404.0,1403.92,1403.93,48.0
2025-12-29 13:37:00,1403.95,1403.95,1403.82,1403.85,29.0
2025-12-29 13:38:00,1403.88,1403.89,1403.5,1403.51,82.0
2025-12-29 13:39:00,1403.5,1403.64,1403.42,1403.45,57.0
2025-12-29 13:40:00,1403.59,1403.64,1403.59,1403.59,51.0
2025-12-29 13:41:00,1403.58,1403.59,1403.39,1403.57,61.0
2025-12-29 13:42:00,1403.73,1404.87,1403.69,1404.06,69.0
2025-12-29 13:43:00,1404.87,1404.87,1404.04,1404.06,39.0
2025-12-29 13:44:00,1404.06,1404.1,1404.0,1404.0,44.0
2025-12-29 13:45:00,1404.0,1404.76,1403.99,1404.0,65.0
2025-12-29 13:46:00,1404.01,1404.69,1404.0,1404.62,31.0
2025-12-29 13:47:00,1404.6,1404.6,1403.5,1403.5,85.0
2025-12-29 13:48:00,1403.51,1403.55,1403.5,1403.51,116.0
2025-12-29 13:49:00,1403.54,1403.54,1403.35,1403.38,62.0
2025-12-29 13:50:00,1403.44,1403.44,1403.31,1403.31,112.0
2025-12-29 13:51:00,1403.4,1404.0,1403.3,1403.33,98.0
2025-12-29 13:52:00,1403.32,1403.46,1403.31,1403.32,43.0
2025-12-29 13:53:00,1403.31,1403.38,1403.31,1403.31,64.0
2025-12-29 13:54:00,1403.31,1403.51,1403.31,1403.44,77.0
2025-12-29 13:55:00,1403.38,1403.43,1403.31,1403.31,70.0
2025-12-29 13:56:00,1403.35,1403.38,1403.33,1403.33,67.0
2025-12-29 13:57:00,1403.34,1403.38,1403.28,1403.28,125.0
2025-12-29 13:58:00,1403.26,1403.26,1403.1,1403.1,113.0
2025-12-29 13:59:00,1403.1,1403.1,1403.05,1403.06,111.0
2025-12-29 14:00:00,1403.06,1403.38,1403.03,1403.19,361.0
2025-12-29 14:01:00,1403.04,1403.32,1403.03,1403.32,93.0
2025-12-29 14:02:00,1403.05,1403.3,1403.03,1403.3,109.0
2025-12-29 14:03:00,1403.19,1403.19,1403.0,1403.0,127.0
2025-12-29 14:04:00,1402.68,1403.0,1402.11,1402.74,540.0
2025-12-29 14:05:00,1402.13,1402.81,1402.12,1402.8,107.0
2025-12-29 14:06:00,1402.24,1402.79,1402.16,1402.25,75.0
2025-12-29 14:07:00,1402.74,1402.8,1402.31,1402.4,74.0
2025-12-29 14:08:00,1402.4,1402.46,1402.18,1402.23,75.0
2025-12-29 14:09:00,1402.19,1402.3,1402.1,1402.1,128.0
2025-12-29 14:10:00,1402.1,1402.25,1402.05,1402.25,93.0
2025-12-29 14:11:00,1402.34,1402.78,1402.34,1402.6,124.0
2025-12-29 14:12:00,1402.64,1402.7,1402.4,1402.61,90.0
2025-12-29 14:13:00,1402.51,1403.23,1402.42,1403.23,93.0
2025-12-29 14:14:00,1403.09,1403.33,1402.68,1402.68,75.0
2025-12-29 14:15:00,1402.75,1402.75,1402.41,1402.41,57.0
2025-12-29 14:16:00,1402.41,1402.68,1402.41,1402.48,51.0
2025-12-29 14:17:00,1402.44,1402.77,1402.44,1402.73,64.0
2025-12-29 14:18:00,1402.61,1402.61,1402.5,1402.6,82.0
2025-12-29 14:19:00,1402.7,1403.02,1402.7,1402.98,56.0
2025-12-29 14:20:00,1402.6,1403.0,1402.6,1402.84,119.0
2025-12-29 14:21:00,1402.79,1402.99,1402.72,1402.75,35.0
2025-12-29 14:22:00,1402.73,1403.35,1402.73,1403.0,66.0
2025-12-29 14:23:00,1403.0,1403.04,1402.9,1402.9,42.0
2025-12-29 14:24:00,1402.89,1403.33,1402.76,1403.02,51.0
