datetime,open,high,low,close,volume
2022-01-04,1818.229065,1830.57178785,1781.952962,1814.89343309,3384262.0
2022-01-05,1809.381235,1827.076895,1785.492094,1790.800792,2839551.0
2022-01-06,1789.04007383,1801.418188,1715.16069333,1753.83455826,5179475.0
2022-01-07,1747.446425,1759.72721304,1715.87736756,1718.248586,2981669.0
2022-01-10,1705.87047183,1749.215991,1696.61564165,1739.483378,2962670.0
2022-01-11,1723.557284,1738.598595,1708.66638611,1716.96565065,2227664.0
2022-01-12,1723.557284,1750.8086004,1723.557284,1740.368161,2747410.0
2022-01-13,1738.43933406,1741.24409617,1650.61577348,1661.08275637,5674735.0
2022-01-14,1661.08275637,1674.894219,1648.350729,1651.889861,2932164.0
2022-01-17,1652.774644,1661.8879089,1623.87763122,1647.12088063,2735382.0
2022-01-18,1647.18281544,1688.91802955,1638.618116,1674.24832741,3121577.0
2022-01-19,1697.898577,1697.898577,1671.24891304,1691.705096,2637094.0
2022-01-20,1695.244228,1751.86149217,1695.244228,1742.59781416,3401391.0
2022-01-21,1734.17468,1763.80606267,1726.22048083,1756.28540717,3081258.0
2022-01-24,1729.750765,1755.409472,1708.90527752,1725.5038066,2398580.0
2022-01-25,1719.133369,1739.483378,1708.515973,1719.133369,2551012.0
2022-01-26,1718.28397732,1742.137727,1697.898577,1729.750765,2390513.0
2022-01-27,1770.45963083,1779.13935206,1727.096416,1738.598595,4266516.0
2022-01-28,1729.750765,1741.252944,1663.40088783,1669.585521,4102011.0
2022-02-07,1681.96363517,1693.08535748,1636.84855,1652.73925268,3515042.0
2022-02-08,1653.55325304,1657.08353721,1583.76157,1627.115937,4171306.0
2022-02-09,1627.19556747,1688.165964,1616.47199751,1677.53087234,3388479.0
2022-02-10,1681.0877,1686.3079197,1643.38709637,1657.198559,2303183.0
2022-02-11,1643.042031,1681.78667857,1628.885503,1636.82200651,3374649.0
2022-02-14,1628.00072,1660.737691,1625.62065373,1653.36744861,2019587.0
2022-02-15,1653.4824704,1690.820313,1644.811597,1672.78843546,2710586.0
2022-02-16,1681.0877,1687.281181,1670.470304,1674.49606665,1458685.0
2022-02-17,1681.62741763,1691.24500884,1664.276823,1669.57667317,1821366.0
2022-02-18,1661.29510429,1688.14826834,1650.70425178,1687.281181,1938549.0
2022-02-21,1681.0877,1687.1927027,1653.61518785,1660.72884317,2081573.0
2022-02-22,1645.70522783,1646.581163,1592.62709566,1599.57264221,5229881.0
2022-02-23,1602.70477403,1622.692022,1592.68018264,1616.50738883,2811161.0
2022-02-24,1599.687664,1604.98751417,1546.6891623,1560.85453813,6535925.0
2022-02-25,1570.489825,1599.93540324,1570.489825,1591.77770398,3897913.0
2022-02-28,1581.16030798,1589.955051,1563.411561,1584.1154832,2892303.0
2022-03-01,1594.378966,1648.85505531,1594.378966,1644.35150984,4737930.0
2022-03-02,1628.00072,1637.72448517,1614.728975,1632.31846104,2007448.0
2022-03-03,1633.1324614,1637.06974575,1587.300702,1592.6094,3154693.0
2022-03-04,1567.835476,1586.31859287,1552.8826433,1575.3561315,3104703.0
2022-03-07,1557.3950366,1564.296344,1507.4932754,1510.324581,4915581.0
2022-03-08,1557.20038434,1580.80639478,1532.444156,1551.2015556,5721546.0
2022-03-09,1560.8456903,1597.033315,1522.80886913,1574.18821794,5643442.0
2022-03-10,1599.687664,1611.189843,1584.646353,1587.68115869,3646178.0
2022-03-11,1562.526778,1572.259391,1520.12797664,1565.18997483,4772677.0
2022-03-14,1530.67459,1548.37025,1504.1311,1504.1311,4900661.0
2022-03-15,1459.89195,1490.859355,1418.307149,1418.307149,8905587.0
2022-03-16,1445.735422,1489.8860937,1409.459319,1481.96728585,7759281.0
2022-03-17,1521.82676,1552.794165,1514.44766978,1521.95947745,6835196.0
2022-03-18,1520.057194,1543.946335,1497.30057524,1511.02355957,3834868.0
2022-03-21,1525.365892,1526.82578395,1499.71603283,1507.9356669,2787716.0
2022-03-22,1525.25971804,1525.25971804,1492.03611639,1499.707185,2105404.0
2022-03-23,1508.555015,1566.06591,1501.476751,1550.30792477,5806739.0
2022-03-24,1537.752854,1539.52242,1519.48208505,1522.64960819,2581532.0
2022-03-25,1514.748496,1534.213722,1490.859355,1495.28327,2970866.0
2022-03-28,1437.772375,1472.9867384,1419.191932,1469.4476064,5754164.0
2022-03-29,1470.0669545,1496.6104445,1470.0669545,1474.933261,2593498.0
2022-03-30,1502.361534,1530.7630683,1499.707185,1530.7630683,4243343.0
2022-03-31,1521.82676,1538.2837238,1511.9171904,1520.941977,2517386.0
2022-04-01,1530.62150302,1586.415919,1523.32204327,1574.92258783,4486191.0
2022-04-06,1551.024599,1582.63789559,1551.024599,1561.641995,2781977.0
2022-04-07,1555.448514,1579.337655,1548.4587283,1561.641995,2019571.0
2022-04-08,1564.296344,1582.6113521,1563.00456082,1578.452872,2294132.0
2022-04-11,1566.06591,1566.06591,1509.46634149,1521.82676,4386359.0
2022-04-12,1529.789807,1581.96546051,1511.209364,1576.683306,4162956.0
2022-04-13,1563.411561,1588.185485,1549.32581564,1565.181127,3114766.0
2022-04-14,1581.992004,1624.3731097,1575.0906966,1600.572447,3764986.0
2022-04-15,1594.5559226,1608.535494,1588.97294187,1597.90925017,2104113.0
2022-04-18,1575.91354479,1590.839834,1564.296344,1584.48709206,1979315.0
2022-04-19,1592.6094,1621.79839117,1570.9322165,1584.0270049,2420476.0
2022-04-20,1594.10468327,1610.30506,1564.89799644,1589.955051,2415572.0
2022-04-21,1583.9385266,1597.918098,1566.06591,1574.89604434,2895261.0
2022-04-22,1559.872429,1581.88583004,1557.37734094,1568.720259,2789975.0
2022-04-25,1548.37025,1571.8169995,1505.900666,1511.209364,5365802.0
2022-04-26,1507.07742739,1547.46777134,1504.1311,1532.86885184,4456396.0
2022-04-27,1563.51773496,1601.45723,1563.51773496,1588.11470236,5740244.0
2022-04-28,1586.415919,1632.424635,1580.6648295,1623.576805,4401006.0
2022-04-29,1624.461588,1635.963767,1602.32431734,1617.71954154,3488527.0
2022-05-05,1619.15289,1654.54421,1618.25041134,1625.346371,3366094.0
2022-05-06,1605.87229717,1609.420277,1575.798523,1586.415919,2859618.0
2022-05-09,1574.91374,1574.91374,1537.752854,1550.139816,3035182.0
2022-05-10,1521.82676,1579.30226368,1508.56386283,1562.69488677,4011919.0
2022-05-11,1552.794165,1582.41669984,1550.139816,1564.296344,3031267.0
2022-05-12,1551.024599,1573.144174,1548.37025,1559.58045061,2203823.0
2022-05-13,1574.91374,1590.78674702,1562.526778,1573.35652192,2073052.0
2022-05-16,1589.955051,1589.955051,1541.88479061,1555.448514,2776531.0
2022-05-17,1565.95973604,1570.489825,1552.794165,1564.296344,2014474.0
2022-05-18,1569.30421578,1569.53425936,1542.19446466,1558.102863,2485044.0
2022-05-19,1543.946335,1554.563731,1538.637637,1553.678948,1977626.0
2022-05-20,1557.20923217,1593.62690045,1550.139816,1592.61824783,4194960.0
2022-05-23,1592.6094,1596.05120587,1567.835476,1575.798523,2215713.0
2022-05-24,1580.222438,1581.107221,1553.2365565,1557.21808,2734222.0
