datetime,open,high,low,close,volume
2026-01-05,79.55,83.82,79.55,81.93,634065.0
2026-01-06,81.5,81.72,79.35,80.19,631172.0
2026-01-07,80.2,84.8,80.2,83.08,891499.0
2026-01-08,83.88,84.86,81.88,82.3,588504.0
2026-01-09,81.55,84.15,78.99,83.03,731545.0
2026-01-12,83.54,85.51,82.31,84.35,616703.0
2026-01-13,85.0,85.0,79.66,80.03,608309.0
2026-01-14,80.07,84.44,79.82,82.29,502571.0
2026-01-15,81.47,83.24,80.12,83.16,426962.0
2026-01-16,84.0,84.0,82.11,82.59,362509.0
2026-01-19,82.0,82.33,80.5,80.85,328697.0
2026-01-20,80.93,80.98,76.82,77.2,543677.0
2026-01-21,76.35,81.0,76.35,80.02,413882.0
2026-01-22,80.74,80.93,78.66,80.49,342217.0
2026-01-23,80.37,80.37,78.1,78.23,381488.0
2026-01-26,78.0,79.99,77.57,77.74,237846.0
2026-01-27,77.8,78.8,75.53,78.19,255950.0
2026-01-28,78.07,79.75,77.17,78.4,329645.0
2026-01-29,77.9,77.93,75.18,75.23,384402.0
2026-01-30,75.0,78.4,73.79,77.41,402498.0
2026-02-02,76.5,78.71,74.75,74.78,305371.0
2026-02-03,75.75,78.49,75.67,78.15,490446.0
2026-02-04,77.4,77.86,74.82,76.46,404255.0
2026-02-05,75.12,77.21,74.11,74.63,292729.0
2026-02-06,73.88,75.51,72.98,73.92,208160.0
2026-02-09,75.5,78.07,75.5,76.94,395159.0
2026-02-10,76.5,78.58,76.37,76.43,243065.0
2026-02-11,75.97,76.84,74.74,74.82,222596.0
2026-02-12,74.93,77.18,74.93,76.64,316652.0
2026-02-13,75.7,75.93,74.9,74.93,249491.0
2026-02-24,80.1,82.42,79.82,82.42,728102.0
2026-02-25,85.7,86.88,84.12,86.1,1193627.0
2026-02-26,86.15,89.88,85.05,88.55,975900.0
2026-02-27,86.82,90.88,85.35,89.86,931671.0
2026-03-02,89.85,97.64,89.85,94.97,901591.0
2026-03-03,97.81,100.7,94.9,95.83,1237437.0
2026-03-04,93.85,103.32,93.85,101.56,1157831.0
2026-03-05,105.0,111.71,99.73,106.61,1545058.0
2026-03-06,106.75,116.06,106.01,114.78,1282547.0
2026-03-09,112.0,119.76,108.52,118.6,1254702.0
2026-03-10,119.49,123.99,116.6,123.51,1137801.0
2026-03-11,122.99,135.68,122.99,134.88,1170329.0
2026-03-12,133.74,141.4,123.6,127.9,1929733.0
2026-03-13,125.3,126.64,118.6,118.69,1602106.0
2026-03-16,118.74,119.05,112.89,117.21,1142231.0
2026-03-17,117.99,119.54,110.85,111.12,1034701.0
2026-03-18,114.34,116.1,111.8,114.78,872503.0
2026-03-19,113.24,122.5,113.24,119.99,977432.0
2026-03-20,123.09,125.73,116.02,116.08,1327309.0
2026-03-23,111.3,118.0,111.3,113.34,940986.0
2026-03-24,113.54,115.08,106.1,112.0,891316.0
2026-03-25,113.66,118.4,113.66,115.74,982487.0
2026-03-26,106.17,109.47,104.65,105.35,1349196.0
2026-03-27,103.18,109.88,103.18,108.35,560243.0
